ticker,title,description,content,source,published_at,url,category
AAPL,Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.,ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,Yahoo,2026-05-13 11:25:34+00:00,https://finnhub.io/api/news?id=f8d2d6602688f3d5346ebcd6214debe885e97bf85b595e20be327d2ddbe25317,company
AAPL,Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.,"President Trump is trying to drum up business for Tesla, and other American companies, in China this week.","President Trump is trying to drum up business for Tesla, and other American companies, in China this week.",Yahoo,2026-05-13 11:11:00+00:00,https://finnhub.io/api/news?id=df2e9b40b61fd6239b46298dac87672a2626eb998cbc84ee8b87dfec99cb33bb,company
AAPL,What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy,"President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.","President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.",Yahoo,2026-05-13 10:45:00+00:00,https://finnhub.io/api/news?id=3661f0c293c7da2a699731db4a99c4f5e38f167bb4ba87bfdd8810a54ea99842,company
AAPL,The SP 500 May Not Be Diversified Anymore,Apollo warns mega cap dominance is reshaping the market,Apollo warns mega cap dominance is reshaping the market,Yahoo,2026-05-13 10:38:04+00:00,https://finnhub.io/api/news?id=1b548dd729d6053142c12368a9d28e04ea86cf64b35268ccde84a2c3af41010a,company
AAPL,Tech Giants Are Hiding the Holes in the Stock Markets Walls,"Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.","Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.",Yahoo,2026-05-13 10:35:00+00:00,https://finnhub.io/api/news?id=609c71b7a1b55fd8d8dfdee36b9948892675ca46211598be70239383353ab448,company
AAPL,Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?,"Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.","Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.",Yahoo,2026-05-13 10:30:00+00:00,https://finnhub.io/api/news?id=143edb6aeacaa10f97825a4d05ca84169688ea16c3f1fd90c6e5076ef0f14377,company
AAPL,Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip,Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Yahoo,2026-05-13 10:14:34+00:00,https://finnhub.io/api/news?id=bc2a6a2e3b60abece2f5849fe64a4a7c6309a2ba30cc172111938440938eb020,company
AAPL,Samsungs Late Galaxy Launch Hands Apple A Massive Advantage,"Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec","Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec",Yahoo,2026-05-13 09:51:53+00:00,https://finnhub.io/api/news?id=54f7d38fc2975a5a63ef01711b0bec57c40f00c1b3813c7a5f1add8665ef4528,company
AAPL,"Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal","Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...","Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...",Yahoo,2026-05-13 09:46:04+00:00,https://finnhub.io/api/news?id=5850036d66b954d3aecdbbf01c8c16365a6fd9569fe460d867b1a1321974c68f,company
AAPL,"Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus","U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle","U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle",Yahoo,2026-05-13 09:42:09+00:00,https://finnhub.io/api/news?id=51071c4eb65bf7dcd6911a28239e16273bf62a30ff1994b4adb870ddd0698d12,company
